,state,unemployment
,Alabama,7.4
,Alaska,7.74
,Arizona,9.93
,Arkansas,7.85
,California,11.14
,Colorado,7.28
,Connecticut,7.93
,Delaware,8.27
,District of Columbia,9.28
,Florida,10.41
,Georgia,9.93
,Hawaii,7.15
,Idaho,6.18
,Illinois,7.1125
,Indiana,6.4
,Iowa,4.75
,Kansas,6.9
,Kentucky,6.95
,Louisiana,6.04
,Maine,8.09
,Maryland,7
,Massachusetts,8.09
,Michigan,13.66
,Minnesota,7.77
,Mississippi,9.48
,Missouri,9.28
,Montana,6.84
,Nebraska,4.63
,Nevada,11.3
,New Hampshire,6.23
,New Jersey,9.06
,New Mexico,7.53
,New York,8.33
,North Carolina,10.58
,North Dakota,4.14
,Ohio,10.32
,Oklahoma,6.36
,Oregon,11.27
,Pennsylvania,8.05
,Rhode Island,11.03
,South Carolina,11.24
,South Dakota,4.89
,Tennessee,10.5
,Texas,7.52
,Utah,7.3
,Vermont,6.64
,Virginia,6.65
,Washington,9.02
,West Virginia,7.69
,Wisconsin,8.55
,Wyoming,6.22
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
